Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2,K1s,K2s,K3s,tau12s,tau3s
0.000000000000000000e+00,9.599914758472080223e+01,0.000000000000000000e+00,2.280000000000000071e+01,2.219000000000000128e+01,5.000000000000000000e-01,2.999999999999999889e-01,5.000000000000000104e-03,1.500000000000000000e+02,5.000000000000000000e+00
2.990845680236816406e+00,9.599914758472080223e+01,0.000000000000000000e+00,2.280000000000000071e+01,2.219000000000000128e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
5.981497526168823242e+00,9.599914758472080223e+01,0.000000000000000000e+00,2.276999999999999957e+01,2.225000000000000000e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
8.972937107086181641e+00,9.599914758472080223e+01,0.000000000000000000e+00,2.282999999999999829e+01,2.221999999999999886e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
1.196448612213134766e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.296000000000000085e+01,2.221999999999999886e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
1.495607304573059082e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.348000000000000043e+01,2.221999999999999886e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
1.794714164733886719e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.401999999999999957e+01,2.232000000000000028e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
2.093750143051147461e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.476999999999999957e+01,2.232000000000000028e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
2.392812967300415039e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.541000000000000014e+01,2.248000000000000043e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
2.691869020462036133e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.637999999999999901e+01,2.248000000000000043e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
2.991000604629516602e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.733999999999999986e+01,2.251000000000000156e+01,5.999999999999999778e-01,2.999999999999999889e-01,1.900000000000000022e-01,1.550000000000000000e+02,1.464231972199999987e+01
3.290137958526611328e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.830999999999999872e+01,2.251000000000000156e+01,6.618296115299999727e-01,2.999999999999999889e-01,1.799999999999999933e-01,1.600000000000000000e+02,1.564231969999999983e+01
3.589398050308227539e+01,9.599914758472080223e+01,0.000000000000000000e+00,2.960000000000000142e+01,2.251000000000000156e+01,7.148516015100000454e-01,2.999999999999999889e-01,1.700000000000000122e-01,1.650000000000000000e+02,1.664231970000000160e+01
3.888576126098632812e+01,9.599914758472080223e+01,0.000000000000000000e+00,3.057000000000000028e+01,2.257000000000000028e+01,7.925347370199999908e-01,2.999999999999999889e-01,1.600000000000000033e-01,1.700000000000000000e+02,1.764231970000000160e+01
4.187675237655639648e+01,9.599914758472080223e+01,0.000000000000000000e+00,3.160000000000000142e+01,2.280000000000000071e+01,8.477228738099999994e-01,2.999999999999999889e-01,1.700000000000000122e-01,1.750000000000000000e+02,1.864231970000000160e+01
4.486760163307189941e+01,9.599914758472080223e+01,0.000000000000000000e+00,3.285000000000000142e+01,2.282999999999999829e+01,9.011781997500000196e-01,2.999999999999999889e-01,1.799999999999999933e-01,1.800000000000000000e+02,1.964231970000000160e+01
4.786689400672912598e+01,9.599914758472080223e+01,0.000000000000000000e+00,3.410999999999999943e+01,2.292999999999999972e+01,9.369370716499999530e-01,2.999999999999999889e-01,1.900000000000000022e-01,1.850000000000000000e+02,2.000000000000000000e+01
5.085801911354064941e+01,9.599914758472080223e+01,0.000000000000000000e+00,3.539999999999999858e+01,2.314999999999999858e+01,9.757829633200000297e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.900000000000000000e+02,2.000000000000000000e+01
5.385772991180419922e+01,9.599914758472080223e+01,0.000000000000000000e+00,3.636999999999999744e+01,2.314999999999999858e+01,1.000000000000000000e+00,2.999999999999999889e-01,2.099999999999999922e-01,1.931992133800000033e+02,2.000000000000000000e+01
5.684847140312194824e+01,9.599914758472080223e+01,0.000000000000000000e+00,3.765999999999999659e+01,2.335000000000000142e+01,1.000000000000000000e+00,2.999999999999999889e-01,2.200000000000000011e-01,1.922071527500000059e+02,2.000000000000000000e+01
5.983918404579162598e+01,2.589614688998160830e+01,0.000000000000000000e+00,3.861999999999999744e+01,2.348000000000000043e+01,9.828376170499999454e-01,2.999999999999999889e-01,2.300000000000000100e-01,1.872071530000000052e+02,2.000000000000000000e+01
6.282958245277404785e+01,2.589614688998160830e+01,0.000000000000000000e+00,3.990999999999999659e+01,2.357000000000000028e+01,9.610706251299999670e-01,2.999999999999999889e-01,2.399999999999999911e-01,1.822071537100000000e+02,2.000000000000000000e+01
6.582074570655822754e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.093999999999999773e+01,2.380000000000000071e+01,9.403329562500000183e-01,2.999999999999999889e-01,2.500000000000000000e-01,1.772071540000000027e+02,2.000000000000000000e+01
6.881150293350219727e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.217000000000000171e+01,2.398999999999999844e+01,9.223488040199999682e-01,2.999999999999999889e-01,2.600000000000000089e-01,1.722071540000000027e+02,2.000000000000000000e+01
7.180189013481140137e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.307000000000000028e+01,2.412000000000000099e+01,9.319261362499999812e-01,2.999999999999999889e-01,2.700000000000000178e-01,1.729952005700000086e+02,2.000000000000000000e+01
7.479344630241394043e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.375000000000000000e+01,2.444000000000000128e+01,9.145970393200000270e-01,2.999999999999999889e-01,2.800000000000000266e-01,1.683151113600000031e+02,2.000000000000000000e+01
7.788162064552307129e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.425999999999999801e+01,2.448000000000000043e+01,9.419273442200000179e-01,2.999999999999999889e-01,2.899999999999999800e-01,1.733151110000000017e+02,2.000000000000000000e+01
8.087307381629943848e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.475000000000000000e+01,2.476999999999999957e+01,9.760323418599999856e-01,2.999999999999999889e-01,2.999999999999999889e-01,1.783151110000000017e+02,2.000000000000000000e+01
8.386428976058959961e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.507000000000000028e+01,2.485999999999999943e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.099999999999999978e-01,1.818807395100000122e+02,2.000000000000000000e+01
8.685475802421569824e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.539000000000000057e+01,2.508999999999999986e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.200000000000000067e-01,1.814003571300000033e+02,2.000000000000000000e+01
8.984585094451904297e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.571000000000000085e+01,2.537999999999999901e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.300000000000000155e-01,1.805117431900000042e+02,2.000000000000000000e+01
9.424781131744384766e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.603999999999999915e+01,2.551000000000000156e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.400000000000000244e-01,1.798737261500000102e+02,2.000000000000000000e+01
9.723878812789916992e+01,2.589614688998160830e+01,0.000000000000000000e+00,4.610000000000000142e+01,2.573000000000000043e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.499999999999999778e-01,1.786985828999999910e+02,2.000000000000000000e+01
1.002298219203948975e+02,2.589614688998160830e+01,0.000000000000000000e+00,4.628999999999999915e+01,2.585999999999999943e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.599999999999999867e-01,1.778820698000000107e+02,2.000000000000000000e+01
1.036541790962219238e+02,2.589614688998160830e+01,0.000000000000000000e+00,4.639000000000000057e+01,2.605000000000000071e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.699999999999999956e-01,1.762815537600000084e+02,2.000000000000000000e+01
1.069604449272155762e+02,2.589614688998160830e+01,0.000000000000000000e+00,4.642000000000000171e+01,2.637999999999999901e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.800000000000000044e-01,1.754562198399999886e+02,2.000000000000000000e+01
1.099518187046051025e+02,2.589614688998160830e+01,0.000000000000000000e+00,4.667999999999999972e+01,2.637999999999999901e+01,1.000000000000000000e+00,2.999999999999999889e-01,3.900000000000000133e-01,1.740600069399999938e+02,2.000000000000000000e+01
1.129419651031494141e+02,2.589614688998160830e+01,0.000000000000000000e+00,4.667999999999999972e+01,2.660000000000000142e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.000000000000000222e-01,1.734248958000000016e+02,2.000000000000000000e+01
1.159332866668701172e+02,2.589614688998160830e+01,0.000000000000000000e+00,4.657999999999999829e+01,2.669999999999999929e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.099999999999999756e-01,1.722189391500000113e+02,2.000000000000000000e+01
1.189242720603942871e+02,2.589614688998160830e+01,0.000000000000000000e+00,4.657999999999999829e+01,2.680000000000000071e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.199999999999999845e-01,1.716625406299999952e+02,2.000000000000000000e+01
1.219150960445404053e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.649000000000000199e+01,2.701999999999999957e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.299999999999999933e-01,1.710900655099999881e+02,2.000000000000000000e+01
1.249071931838989258e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.642000000000000171e+01,2.701999999999999957e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.400000000000000022e-01,1.703737678399999993e+02,2.000000000000000000e+01
1.278984293937683105e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.642000000000000171e+01,2.733999999999999986e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.500000000000000111e-01,1.697498737699999936e+02,2.000000000000000000e+01
1.308896343708038330e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.635999999999999943e+01,2.733999999999999986e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.600000000000000200e-01,1.688616412799999864e+02,2.000000000000000000e+01
1.338806252479553223e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.639000000000000057e+01,2.744000000000000128e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.699999999999999734e-01,1.678223907100000076e+02,2.000000000000000000e+01
1.368715600967407227e+02,3.664122240872124081e+01,0.000000000000000000e+00,4.642000000000000171e+01,2.767000000000000171e+01,1.000000000000000000e+00,2.999999999999999889e-01,4.799999999999999822e-01,1.661061210999999957e+02,2.000000000000000000e+01
