Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2,K1s,K2s,K3s,tau12s,tau3s
0.000000000000000000e+00,9.056396761745206447e+01,0.000000000000000000e+00,2.314999999999999858e+01,2.282999999999999829e+01,5.000000000000000000e-01,2.999999999999999889e-01,5.000000000000000104e-03,1.500000000000000000e+02,5.000000000000000000e+00
2.991882085800170898e+00,9.056396761745206447e+01,0.000000000000000000e+00,2.319000000000000128e+01,2.282999999999999829e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
5.983577728271484375e+00,9.056396761745206447e+01,0.000000000000000000e+00,2.332000000000000028e+01,2.282999999999999829e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
8.975064754486083984e+00,9.056396761745206447e+01,0.000000000000000000e+00,2.344000000000000128e+01,2.282999999999999829e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
1.196593213081359863e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.348000000000000043e+01,2.282999999999999829e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
1.495633244514465332e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.380000000000000071e+01,2.282999999999999829e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
1.794909429550170898e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.444000000000000128e+01,2.282999999999999829e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
2.094053721427917480e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.508999999999999986e+01,2.282999999999999829e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
2.393143177032470703e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.582999999999999829e+01,2.285999999999999943e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
2.692214560508728027e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.669999999999999929e+01,2.285999999999999943e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+02,1.500000000000000000e+01
2.991311669349670410e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.767000000000000171e+01,2.292999999999999972e+01,5.999999999999999778e-01,2.999999999999999889e-01,2.099999999999999922e-01,1.469791064599999970e+02,1.400000000000000000e+01
3.290456962585449219e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.862999999999999901e+01,2.305999999999999872e+01,6.999999999999999556e-01,2.999999999999999889e-01,2.200000000000000011e-01,1.519791060000000016e+02,1.500000000000000000e+01
3.589494609832763672e+01,9.056396761745206447e+01,0.000000000000000000e+00,2.960000000000000142e+01,2.312000000000000099e+01,7.648195676200000293e-01,2.999999999999999889e-01,2.300000000000000100e-01,1.569791060000000016e+02,1.600000000000000000e+01
3.888572645187377930e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.057000000000000028e+01,2.314999999999999858e+01,8.206096346900000338e-01,2.999999999999999889e-01,2.399999999999999911e-01,1.619791060000000016e+02,1.700000000000000000e+01
4.187725067138671875e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.169000000000000128e+01,2.314999999999999858e+01,8.770400063300000104e-01,2.999999999999999889e-01,2.500000000000000000e-01,1.669791060000000016e+02,1.800000000000000000e+01
4.486839890480041504e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.282000000000000028e+01,2.321999999999999886e+01,9.297830064800000072e-01,2.999999999999999889e-01,2.600000000000000089e-01,1.719791060000000016e+02,1.900000000000000000e+01
4.786078619956970215e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.410999999999999943e+01,2.348000000000000043e+01,9.834373515700000068e-01,2.999999999399999839e-01,2.700000000000000178e-01,1.769791060000000016e+02,2.000000000000000000e+01
5.085167837142944336e+01,9.056396761745206447e+01,0.000000000000000000e+00,3.510999999999999943e+01,2.348000000000000043e+01,1.000000000000000000e+00,2.999999999999999889e-01,2.800000000000000266e-01,1.801714492700000108e+02,2.000000000000000000e+01
