Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.285999999999999943e+01,2.241000000000000014e+01
2.990951299667358398e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.282999999999999829e+01,2.228000000000000114e+01
5.982355594635009766e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.282999999999999829e+01,2.219000000000000128e+01
8.973420858383178711e+00,3.000000028599999879e+01,4.416203259200000305e-05,2.282999999999999829e+01,2.221999999999999886e+01
1.196497392654418945e+01,6.000000059900000338e+01,4.420143905899999865e-05,2.282999999999999829e+01,2.225000000000000000e+01
1.500975418090820312e+01,9.000000028300000565e+01,1.329020968999999961e-04,2.282999999999999829e+01,2.232000000000000028e+01
1.800030875205993652e+01,1.000000000000000000e+02,4.992932380700000118e-06,2.296000000000000085e+01,2.235000000000000142e+01
2.099144673347473145e+01,1.000000000000000000e+02,1.389794124300000101e-06,2.314999999999999858e+01,2.232000000000000028e+01
2.398460507392883301e+01,1.000000000000000000e+02,4.202723644299999713e-08,2.348000000000000043e+01,2.228000000000000114e+01
2.697596931457519531e+01,1.000000000000000000e+02,5.691395632599999686e-07,2.412000000000000099e+01,2.225000000000000000e+01
2.996761512756347656e+01,1.000000000000000000e+02,2.917200603999999937e-08,2.476999999999999957e+01,2.232000000000000028e+01
3.295893239974975586e+01,7.717644093900000257e+01,0.000000000000000000e+00,2.569999999999999929e+01,2.241000000000000014e+01
3.595004844665527344e+01,4.717644060100000303e+01,0.000000000000000000e+00,2.653999999999999915e+01,2.248000000000000043e+01
3.894144940376281738e+01,1.717644036000000085e+01,0.000000000000000000e+00,2.753999999999999915e+01,2.251000000000000156e+01
4.193263888359069824e+01,2.401497860199999802e-06,1.341562972300000102e-07,2.857000000000000028e+01,2.251000000000000156e+01
4.492350125312805176e+01,5.114204253800000131e-07,7.450766960199999875e-09,2.944000000000000128e+01,2.251000000000000156e+01
4.791372442245483398e+01,1.962026131500000049e-07,4.930572009099999911e-10,3.023999999999999844e+01,2.251000000000000156e+01
5.090418720245361328e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.089000000000000057e+01,2.260999999999999943e+01
5.389507842063903809e+01,6.340863020400000337e-07,5.011289334199999721e-08,3.153000000000000114e+01,2.282999999999999829e+01
5.688601255416870117e+01,1.433618840599999887e-07,0.000000000000000000e+00,3.185999999999999943e+01,2.282999999999999829e+01
5.987668848037719727e+01,7.599722182999999528e-07,5.098395162300000137e-08,3.217999999999999972e+01,2.285999999999999943e+01
6.286772227287292480e+01,1.494764734300000110e-07,0.000000000000000000e+00,3.246999999999999886e+01,2.296000000000000085e+01
6.585982227325439453e+01,5.344438503200000044e-09,0.000000000000000000e+00,3.250000000000000000e+01,2.314999999999999858e+01
6.885139012336730957e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.253000000000000114e+01,2.314999999999999858e+01
7.184204792976379395e+01,7.653995161700000445e-08,0.000000000000000000e+00,3.278999999999999915e+01,2.314999999999999858e+01
7.483366489410400391e+01,1.113794074299999963e-07,0.000000000000000000e+00,3.275999999999999801e+01,2.348000000000000043e+01
7.782614302635192871e+01,3.041937826000000042e-07,0.000000000000000000e+00,3.275999999999999801e+01,2.348000000000000043e+01
8.081643939018249512e+01,5.047777832899999854e-06,8.445744043399999640e-08,3.268999999999999773e+01,2.348000000000000043e+01
8.380699443817138672e+01,5.043782296899999653e-06,0.000000000000000000e+00,3.250000000000000000e+01,2.348000000000000043e+01
8.679784798622131348e+01,5.164006682800000084e-06,0.000000000000000000e+00,3.250000000000000000e+01,2.364000000000000057e+01
8.978913784027099609e+01,5.169675694099999814e-06,0.000000000000000000e+00,3.250000000000000000e+01,2.380000000000000071e+01
9.278015542030334473e+01,5.772805235299999893e+00,2.058575890299999953e-08,3.236999999999999744e+01,2.380000000000000071e+01
9.577060818672180176e+01,2.078213991100000158e+01,0.000000000000000000e+00,3.217999999999999972e+01,2.380000000000000071e+01
9.876205205917358398e+01,2.181531091600000138e+01,0.000000000000000000e+00,3.207999999999999829e+01,2.380000000000000071e+01
1.017532625198364258e+02,2.061865857500000132e+01,0.000000000000000000e+00,3.185999999999999943e+01,2.389999999999999858e+01
1.047450728416442871e+02,3.589524175399999706e+01,0.000000000000000000e+00,3.185999999999999943e+01,2.405999999999999872e+01
1.077353549003601074e+02,2.309040624200000025e+01,1.046916331799999946e-07,3.185999999999999943e+01,2.408999999999999986e+01
1.107256283760070801e+02,1.535835791699999930e+01,0.000000000000000000e+00,3.185999999999999943e+01,2.412000000000000099e+01
1.137161724567413330e+02,1.720770151099999978e+01,0.000000000000000000e+00,3.185999999999999943e+01,2.412000000000000099e+01
1.167067198753356934e+02,1.930684896600000044e+01,0.000000000000000000e+00,3.189000000000000057e+01,2.412000000000000099e+01
1.196978743076324463e+02,1.930684900099999979e+01,0.000000000000000000e+00,3.204999999999999716e+01,2.412000000000000099e+01
1.226895289421081543e+02,4.930684921900000006e+01,2.000000019999999878e+01,3.217999999999999972e+01,2.430999999999999872e+01
1.256801178455352783e+02,5.349104709099999866e+01,4.000000039900000104e+01,3.217999999999999972e+01,2.451000000000000156e+01
1.286711308956146240e+02,5.349104722100000231e+01,6.000000059500000305e+01,3.227000000000000313e+01,2.444000000000000128e+01
1.316619422435760498e+02,5.349104717499999850e+01,8.000000079999999514e+01,3.250000000000000000e+01,2.453999999999999915e+01
1.346530454158782959e+02,4.476614368799999966e+01,1.000000000000000000e+02,3.263000000000000256e+01,2.489000000000000057e+01
1.376439931392669678e+02,3.391349067699999864e+01,1.000000000000000000e+02,3.295000000000000284e+01,2.517999999999999972e+01
1.406349585056304932e+02,4.900674186799999887e+00,1.000000000000000000e+02,3.327000000000000313e+01,2.541000000000000014e+01
1.436263103485107422e+02,6.067129909100000162e+00,1.000000000000000000e+02,3.363000000000000256e+01,2.582999999999999829e+01
1.466181302070617676e+02,4.562984025699999613e+00,1.000000000000000000e+02,3.392000000000000171e+01,2.598999999999999844e+01
1.496089682579040527e+02,1.200738188399999906e+00,1.000000000000000000e+02,3.417999999999999972e+01,2.667000000000000171e+01
1.525998272895812988e+02,3.321191662300000114e-06,1.000000000000000000e+02,3.442999999999999972e+01,2.721000000000000085e+01
1.555909750461578369e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.456000000000000227e+01,2.785999999999999943e+01
1.585822474956512451e+02,1.301644520200000082e-07,1.000000000000000000e+02,3.475999999999999801e+01,2.841000000000000014e+01
1.615727066993713379e+02,3.088898351199999969e-07,1.000000000000000000e+02,3.478999999999999915e+01,2.898999999999999844e+01
1.645636677742004395e+02,2.374706032999999970e-07,1.000000000000000000e+02,3.495000000000000284e+01,2.985999999999999943e+01
1.675552692413330078e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.497999999999999687e+01,3.050000000000000000e+01
1.705464434623718262e+02,2.880742254099999833e-07,1.000000000000000000e+02,3.497999999999999687e+01,3.114999999999999858e+01
1.735371208190917969e+02,2.108746462100000085e-07,1.000000000000000000e+02,3.482000000000000028e+01,3.182000000000000028e+01
1.765282182693481445e+02,2.196734278399999846e-08,1.000000000000000000e+02,3.475999999999999801e+01,3.265999999999999659e+01
1.795186963081359863e+02,4.070845605799999959e-06,1.000000000000000000e+02,3.475999999999999801e+01,3.331000000000000227e+01
1.825090618133544922e+02,9.557825376400000229e-06,9.999999972499999501e+01,3.475999999999999801e+01,3.397999999999999687e+01
1.855008938312530518e+02,8.360066998500000735e-06,1.000000000000000000e+02,3.475999999999999801e+01,3.463000000000000256e+01
1.884920465946197510e+02,1.443624967999999975e-05,9.779593419799999765e+01,3.475999999999999801e+01,3.529999999999999716e+01
1.914824156761169434e+02,1.187736710299999977e-05,7.779593554400000244e+01,3.453000000000000114e+01,3.588000000000000256e+01
1.944734077453613281e+02,6.070275300300000338e-05,5.779593682699999846e+01,3.442999999999999972e+01,3.656000000000000227e+01
1.974640643596649170e+02,6.070407551300000085e-05,3.779593660399999777e+01,3.442999999999999972e+01,3.697999999999999687e+01
2.004550838470458984e+02,6.070413983000000281e-05,2.286376574399999839e+01,3.442999999999999972e+01,3.746000000000000085e+01
2.034453184604644775e+02,1.324753239499999985e-04,2.286375542800000105e+01,3.427000000000000313e+01,3.807999999999999829e+01
2.064359490871429443e+02,1.324762932100000048e-04,2.863755201400000061e+00,3.410999999999999943e+01,3.829999999999999716e+01
2.094269232749938965e+02,6.094058430600000076e-01,2.863757997200000016e+00,3.410999999999999943e+01,3.865999999999999659e+01
2.124182426929473877e+02,3.060940613900000073e+01,4.457018689200000217e-01,3.410999999999999943e+01,3.897999999999999687e+01
2.154097769260406494e+02,3.060940610000000106e+01,1.071209644399999981e-07,3.407999999999999829e+01,3.927000000000000313e+01
2.184004478454589844e+02,2.957153424599999880e+01,3.522861286800000319e-08,3.397999999999999687e+01,3.927000000000000313e+01
2.213915138244628906e+02,3.644076802000000015e+01,2.741536300799999744e-07,3.400999999999999801e+01,3.942999999999999972e+01
2.243819165229797363e+02,4.024661093299999948e+01,2.712848198000000024e-07,3.410999999999999943e+01,3.935999999999999943e+01
2.273728134632110596e+02,4.024661099499999750e+01,1.052200311200000016e+01,3.410999999999999943e+01,3.927000000000000313e+01
2.303640258312225342e+02,4.024661100000000147e+01,3.002232830000000163e+01,3.410999999999999943e+01,3.935999999999999943e+01
2.333543488979339600e+02,4.710645453800000126e+01,3.002232830000000163e+01,3.442999999999999972e+01,3.929999999999999716e+01
2.363445975780487061e+02,2.733627883400000158e+01,3.002232823499999981e+01,3.475999999999999801e+01,3.897999999999999687e+01
2.393356332778930664e+02,2.208021300000000053e+01,3.002232820000000046e+01,3.497999999999999687e+01,3.914000000000000057e+01
2.423266344070434570e+02,2.208021307299999947e+01,3.002232818699999939e+01,3.521000000000000085e+01,3.900999999999999801e+01
2.453183472156524658e+02,2.208021311699999956e+01,3.002232819500000005e+01,3.542999999999999972e+01,3.882000000000000028e+01
